Activity;Area;Count;Fortnight;Month;Type
2.0;E;0;2.0;2.0;Vessel
2.0;F;0;2.0;2.0;Vessel
2.0;G;0;2.0;2.0;Vessel
2.0;I;0;2.0;2.0;Vessel
2.0;J;0;2.0;2.0;Vessel
2.0;K;0;2.0;2.0;Vessel
2.0;L;0;2.0;2.0;Vessel
2.0;M;0;2.0;2.0;Vessel
1.0;A;0;1.0;2.0;Tug
1.0;B;0;1.0;2.0;Tug
1.0;C;0;1.0;2.0;Tug
1.0;D;0;1.0;2.0;Tug
1.0;E;0;1.0;2.0;Tug
1.0;F;0;1.0;2.0;Tug
1.0;G;0;1.0;2.0;Tug
1.0;I;0;1.0;2.0;Tug
1.0;J;0;1.0;2.0;Tug
1.0;K;0;1.0;2.0;Tug
1.0;L;0;1.0;2.0;Tug
1.0;M;0;1.0;2.0;Tug
1.0;A;0;2.0;2.0;Tug
1.0;B;0;2.0;2.0;Tug
1.0;C;0;2.0;2.0;Tug
1.0;D;0;2.0;2.0;Tug
1.0;E;0;2.0;2.0;Tug
1.0;F;0;2.0;2.0;Tug
1.0;G;0;2.0;2.0;Tug
1.0;I;0;2.0;2.0;Tug
1.0;J;0;2.0;2.0;Tug
1.0;K;0;2.0;2.0;Tug
1.0;L;0;2.0;2.0;Tug
1.0;M;0;2.0;2.0;Tug
2.0;A;0;1.0;2.0;Tug
2.0;B;0;1.0;2.0;Tug
2.0;C;0;1.0;2.0;Tug
2.0;D;0;1.0;2.0;Tug
2.0;E;0;1.0;2.0;Tug
2.0;F;0;1.0;2.0;Tug
2.0;G;0;1.0;2.0;Tug
2.0;I;0;1.0;2.0;Tug
2.0;J;0;1.0;2.0;Tug
2.0;K;1;1.0;2.0;Tug
2.0;L;0;1.0;2.0;Tug
2.0;M;0;1.0;2.0;Tug
2.0;A;0;2.0;2.0;Tug
2.0;B;0;2.0;2.0;Tug
2.0;C;0;2.0;2.0;Tug
2.0;D;0;2.0;2.0;Tug
2.0;E;0;2.0;2.0;Tug
2.0;F;0;2.0;2.0;Tug
2.0;G;0;2.0;2.0;Tug
2.0;I;0;2.0;2.0;Tug
2.0;J;0;2.0;2.0;Tug
2.0;K;0;2.0;2.0;Tug
2.0;L;0;2.0;2.0;Tug
2.0;M;0;2.0;2.0;Tug
1.0;A;0;1.0;2.0;Barge
1.0;B;0;1.0;2.0;Barge
1.0;C;0;1.0;2.0;Barge
1.0;D;0;1.0;2.0;Barge
1.0;E;0;1.0;2.0;Barge
1.0;F;0;1.0;2.0;Barge
1.0;G;0;1.0;2.0;Barge
1.0;I;0;1.0;2.0;Barge
1.0;J;0;1.0;2.0;Barge
1.0;K;0;1.0;2.0;Barge
1.0;L;0;1.0;2.0;Barge
1.0;M;0;1.0;2.0;Barge
1.0;A;0;2.0;2.0;Barge
1.0;B;0;2.0;2.0;Barge
1.0;C;0;2.0;2.0;Barge
1.0;D;0;2.0;2.0;Barge
1.0;E;0;2.0;2.0;Barge
1.0;F;0;2.0;2.0;Barge
1.0;G;0;2.0;2.0;Barge
1.0;I;0;2.0;2.0;Barge
1.0;J;0;2.0;2.0;Barge
1.0;K;0;2.0;2.0;Barge
1.0;L;0;2.0;2.0;Barge
1.0;M;0;2.0;2.0;Barge
2.0;A;0;1.0;2.0;Barge
2.0;B;0;1.0;2.0;Barge
2.0;C;0;1.0;2.0;Barge
2.0;D;0;1.0;2.0;Barge
2.0;E;0;1.0;2.0;Barge
2.0;F;0;1.0;2.0;Barge
2.0;G;0;1.0;2.0;Barge
2.0;I;0;1.0;2.0;Barge
2.0;J;0;1.0;2.0;Barge
2.0;K;0;1.0;2.0;Barge
2.0;L;0;1.0;2.0;Barge
2.0;M;0;1.0;2.0;Barge
2.0;A;0;2.0;2.0;Barge
2.0;B;0;2.0;2.0;Barge
2.0;C;0;2.0;2.0;Barge
2.0;D;0;2.0;2.0;Barge
2.0;E;0;2.0;2.0;Barge
2.0;F;0;2.0;2.0;Barge
2.0;G;0;2.0;2.0;Barge
2.0;I;0;2.0;2.0;Barge
2.0;J;0;2.0;2.0;Barge
2.0;K;0;2.0;2.0;Barge
2.0;L;0;2.0;2.0;Barge
2.0;M;0;2.0;2.0;Barge
1.0;A;0;1.0;3.0;Carrier
1.0;B;0;1.0;3.0;Carrier
1.0;C;0;1.0;3.0;Carrier
1.0;D;0;1.0;3.0;Carrier
1.0;E;0;1.0;3.0;Carrier
1.0;F;0;1.0;3.0;Carrier
1.0;G;0;1.0;3.0;Carrier
1.0;I;0;1.0;3.0;Carrier
1.0;J;0;1.0;3.0;Carrier
1.0;K;0;1.0;3.0;Carrier
1.0;L;0;1.0;3.0;Carrier
1.0;M;0;1.0;3.0;Carrier
1.0;A;0;2.0;3.0;Carrier
1.0;B;0;2.0;3.0;Carrier
1.0;C;0;2.0;3.0;Carrier
1.0;D;0;2.0;3.0;Carrier
1.0;E;0;2.0;3.0;Carrier
1.0;F;0;2.0;3.0;Carrier
1.0;G;0;2.0;3.0;Carrier
1.0;I;0;2.0;3.0;Carrier
1.0;J;0;2.0;3.0;Carrier
1.0;K;0;2.0;3.0;Carrier
1.0;L;0;2.0;3.0;Carrier
1.0;M;0;2.0;3.0;Carrier
2.0;A;0;1.0;3.0;Carrier
2.0;B;0;1.0;3.0;Carrier
2.0;C;1;1.0;3.0;Carrier
2.0;D;0;1.0;3.0;Carrier
2.0;E;1;1.0;3.0;Carrier
2.0;F;0;1.0;3.0;Carrier
2.0;G;0;1.0;3.0;Carrier
2.0;I;1;1.0;3.0;Carrier
2.0;J;1;1.0;3.0;Carrier
2.0;K;0;1.0;3.0;Carrier
2.0;L;0;1.0;3.0;Carrier
2.0;M;0;1.0;3.0;Carrier
2.0;A;0;2.0;3.0;Carrier
2.0;B;0;2.0;3.0;Carrier
2.0;C;1;2.0;3.0;Carrier
2.0;D;1;2.0;3.0;Carrier
2.0;E;0;2.0;3.0;Carrier
2.0;F;0;2.0;3.0;Carrier
2.0;G;0;2.0;3.0;Carrier
2.0;I;2;2.0;3.0;Carrier
2.0;J;0;2.0;3.0;Carrier
2.0;K;0;2.0;3.0;Carrier
2.0;L;0;2.0;3.0;Carrier
2.0;M;0;2.0;3.0;Carrier
1.0;A;0;1.0;3.0;Tanker
1.0;B;0;1.0;3.0;Tanker
1.0;C;0;1.0;3.0;Tanker
1.0;D;0;1.0;3.0;Tanker
1.0;E;0;1.0;3.0;Tanker
1.0;F;0;1.0;3.0;Tanker
1.0;G;0;1.0;3.0;Tanker
1.0;I;0;1.0;3.0;Tanker
1.0;J;0;1.0;3.0;Tanker
1.0;K;0;1.0;3.0;Tanker
1.0;L;0;1.0;3.0;Tanker
1.0;M;0;1.0;3.0;Tanker
1.0;A;0;2.0;3.0;Tanker
1.0;B;0;2.0;3.0;Tanker
1.0;C;0;2.0;3.0;Tanker
1.0;D;0;2.0;3.0;Tanker
1.0;E;0;2.0;3.0;Tanker
1.0;F;0;2.0;3.0;Tanker
1.0;G;0;2.0;3.0;Tanker
1.0;I;0;2.0;3.0;Tanker
1.0;J;0;2.0;3.0;Tanker
1.0;K;0;2.0;3.0;Tanker
1.0;L;0;2.0;3.0;Tanker
1.0;M;0;2.0;3.0;Tanker
2.0;A;0;1.0;3.0;Tanker
2.0;B;0;1.0;3.0;Tanker
2.0;C;1;1.0;3.0;Tanker
2.0;D;1;1.0;3.0;Tanker
2.0;E;0;1.0;3.0;Tanker
2.0;F;2;1.0;3.0;Tanker
2.0;G;0;1.0;3.0;Tanker
2.0;I;0;1.0;3.0;Tanker
2.0;J;1;1.0;3.0;Tanker
2.0;K;1;1.0;3.0;Tanker
2.0;L;1;1.0;3.0;Tanker
2.0;M;0;1.0;3.0;Tanker
2.0;A;0;2.0;3.0;Tanker
2.0;B;0;2.0;3.0;Tanker
2.0;C;2;2.0;3.0;Tanker
2.0;D;1;2.0;3.0;Tanker
2.0;E;0;2.0;3.0;Tanker
2.0;F;2;2.0;3.0;Tanker
2.0;G;0;2.0;3.0;Tanker
2.0;I;5;2.0;3.0;Tanker
2.0;J;1;2.0;3.0;Tanker
2.0;K;0;2.0;3.0;Tanker
2.0;L;2;2.0;3.0;Tanker
2.0;M;0;2.0;3.0;Tanker
1.0;A;0;1.0;3.0;Other
1.0;B;0;1.0;3.0;Other
1.0;C;0;1.0;3.0;Other
1.0;D;0;1.0;3.0;Other
1.0;E;0;1.0;3.0;Other
1.0;F;0;1.0;3.0;Other
1.0;G;0;1.0;3.0;Other
1.0;I;0;1.0;3.0;Other
1.0;J;0;1.0;3.0;Other
1.0;K;0;1.0;3.0;Other
1.0;L;0;1.0;3.0;Other
1.0;M;0;1.0;3.0;Other
1.0;A;0;2.0;3.0;Other
1.0;B;0;2.0;3.0;Other
1.0;C;0;2.0;3.0;Other
1.0;D;0;2.0;3.0;Other
1.0;E;0;2.0;3.0;Other
1.0;F;0;2.0;3.0;Other
1.0;G;0;2.0;3.0;Other
1.0;I;0;2.0;3.0;Other
1.0;J;0;2.0;3.0;Other
1.0;K;0;2.0;3.0;Other
1.0;L;0;2.0;3.0;Other
1.0;M;0;2.0;3.0;Other
2.0;A;0;1.0;3.0;Other
2.0;B;0;1.0;3.0;Other
2.0;C;0;1.0;3.0;Other
2.0;D;0;1.0;3.0;Other
2.0;E;0;1.0;3.0;Other
2.0;F;0;1.0;3.0;Other
2.0;G;0;1.0;3.0;Other
2.0;I;2;1.0;3.0;Other
2.0;J;0;1.0;3.0;Other
2.0;K;0;1.0;3.0;Other
2.0;L;0;1.0;3.0;Other
2.0;M;0;1.0;3.0;Other
2.0;A;0;2.0;3.0;Other
2.0;B;0;2.0;3.0;Other
2.0;C;0;2.0;3.0;Other
2.0;D;0;2.0;3.0;Other
2.0;E;0;2.0;3.0;Other
2.0;F;0;2.0;3.0;Other
2.0;G;0;2.0;3.0;Other
2.0;I;1;2.0;3.0;Other
2.0;J;0;2.0;3.0;Other
2.0;K;0;2.0;3.0;Other
2.0;L;0;2.0;3.0;Other
2.0;M;0;2.0;3.0;Other
1.0;A;0;1.0;3.0;Cargo
1.0;B;0;1.0;3.0;Cargo
1.0;C;0;1.0;3.0;Cargo
1.0;D;0;1.0;3.0;Cargo
1.0;E;0;1.0;3.0;Cargo
1.0;F;0;1.0;3.0;Cargo
1.0;G;0;1.0;3.0;Cargo
1.0;I;0;1.0;3.0;Cargo
1.0;J;0;1.0;3.0;Cargo
1.0;K;0;1.0;3.0;Cargo
1.0;L;0;1.0;3.0;Cargo
1.0;M;0;1.0;3.0;Cargo
1.0;A;0;2.0;3.0;Cargo
1.0;B;0;2.0;3.0;Cargo
1.0;C;0;2.0;3.0;Cargo
1.0;D;0;2.0;3.0;Cargo
1.0;E;0;2.0;3.0;Cargo
1.0;F;0;2.0;3.0;Cargo
1.0;G;0;2.0;3.0;Cargo
1.0;I;0;2.0;3.0;Cargo
1.0;J;0;2.0;3.0;Cargo
1.0;K;0;2.0;3.0;Cargo
1.0;L;0;2.0;3.0;Cargo
1.0;M;0;2.0;3.0;Cargo
2.0;A;0;1.0;3.0;Cargo
2.0;B;0;1.0;3.0;Cargo
2.0;C;0;1.0;3.0;Cargo
2.0;D;0;1.0;3.0;Cargo
2.0;E;0;1.0;3.0;Cargo
2.0;F;0;1.0;3.0;Cargo
2.0;G;0;1.0;3.0;Cargo
2.0;I;0;1.0;3.0;Cargo
2.0;J;0;1.0;3.0;Cargo
2.0;K;1;1.0;3.0;Cargo
2.0;L;0;1.0;3.0;Cargo
2.0;M;0;1.0;3.0;Cargo
2.0;A;0;2.0;3.0;Cargo
2.0;B;0;2.0;3.0;Cargo
2.0;C;0;2.0;3.0;Cargo
2.0;D;0;2.0;3.0;Cargo
2.0;E;0;2.0;3.0;Cargo
2.0;F;0;2.0;3.0;Cargo
2.0;G;0;2.0;3.0;Cargo
2.0;I;0;2.0;3.0;Cargo
2.0;J;0;2.0;3.0;Cargo
2.0;K;1;2.0;3.0;Cargo
2.0;L;0;2.0;3.0;Cargo
2.0;M;0;2.0;3.0;Cargo
1.0;A;0;1.0;3.0;Ro-Ro
1.0;B;0;1.0;3.0;Ro-Ro
1.0;C;0;1.0;3.0;Ro-Ro
1.0;D;0;1.0;3.0;Ro-Ro
1.0;E;0;1.0;3.0;Ro-Ro
1.0;F;0;1.0;3.0;Ro-Ro
1.0;G;0;1.0;3.0;Ro-Ro
1.0;I;0;1.0;3.0;Ro-Ro
1.0;J;0;1.0;3.0;Ro-Ro
1.0;K;0;1.0;3.0;Ro-Ro
1.0;L;0;1.0;3.0;Ro-Ro
1.0;M;0;1.0;3.0;Ro-Ro
1.0;A;0;2.0;3.0;Ro-Ro
1.0;B;0;2.0;3.0;Ro-Ro
1.0;C;0;2.0;3.0;Ro-Ro
1.0;D;0;2.0;3.0;Ro-Ro
1.0;E;0;2.0;3.0;Ro-Ro
1.0;F;0;2.0;3.0;Ro-Ro
1.0;G;0;2.0;3.0;Ro-Ro
1.0;I;0;2.0;3.0;Ro-Ro
1.0;J;0;2.0;3.0;Ro-Ro
1.0;K;0;2.0;3.0;Ro-Ro
1.0;L;0;2.0;3.0;Ro-Ro
1.0;M;0;2.0;3.0;Ro-Ro
2.0;A;0;1.0;3.0;Ro-Ro
2.0;B;0;1.0;3.0;Ro-Ro
2.0;C;0;1.0;3.0;Ro-Ro
2.0;D;0;1.0;3.0;Ro-Ro
2.0;E;0;1.0;3.0;Ro-Ro
2.0;F;0;1.0;3.0;Ro-Ro
2.0;G;0;1.0;3.0;Ro-Ro
2.0;I;0;1.0;3.0;Ro-Ro
2.0;J;0;1.0;3.0;Ro-Ro
2.0;K;0;1.0;3.0;Ro-Ro
2.0;L;1;1.0;3.0;Ro-Ro
2.0;M;0;1.0;3.0;Ro-Ro
2.0;A;0;2.0;3.0;Ro-Ro
2.0;B;0;2.0;3.0;Ro-Ro
2.0;C;0;2.0;3.0;Ro-Ro
2.0;D;0;2.0;3.0;Ro-Ro
2.0;E;0;2.0;3.0;Ro-Ro
2.0;F;0;2.0;3.0;Ro-Ro
2.0;G;1;2.0;3.0;Ro-Ro
2.0;I;0;2.0;3.0;Ro-Ro
2.0;J;0;2.0;3.0;Ro-Ro
2.0;K;0;2.0;3.0;Ro-Ro
2.0;L;0;2.0;3.0;Ro-Ro
2.0;M;0;2.0;3.0;Ro-Ro
1.0;A;0;1.0;3.0;Vessel
1.0;B;0;1.0;3.0;Vessel
1.0;C;0;1.0;3.0;Vessel
1.0;D;0;1.0;3.0;Vessel
1.0;E;0;1.0;3.0;Vessel
1.0;F;0;1.0;3.0;Vessel
1.0;G;0;1.0;3.0;Vessel
1.0;I;0;1.0;3.0;Vessel
1.0;J;0;1.0;3.0;Vessel
1.0;K;0;1.0;3.0;Vessel
1.0;L;0;1.0;3.0;Vessel
1.0;M;0;1.0;3.0;Vessel
1.0;A;0;2.0;3.0;Vessel
1.0;B;0;2.0;3.0;Vessel
1.0;C;0;2.0;3.0;Vessel
1.0;D;0;2.0;3.0;Vessel
1.0;E;0;2.0;3.0;Vessel
1.0;F;0;2.0;3.0;Vessel
1.0;G;0;2.0;3.0;Vessel
1.0;I;0;2.0;3.0;Vessel
1.0;J;0;2.0;3.0;Vessel
1.0;K;0;2.0;3.0;Vessel
1.0;L;0;2.0;3.0;Vessel
1.0;M;0;2.0;3.0;Vessel
2.0;A;0;1.0;3.0;Vessel
2.0;B;0;1.0;3.0;Vessel
2.0;C;0;1.0;3.0;Vessel
2.0;D;0;1.0;3.0;Vessel
2.0;E;0;1.0;3.0;Vessel
2.0;F;0;1.0;3.0;Vessel
2.0;G;0;1.0;3.0;Vessel
2.0;I;0;1.0;3.0;Vessel
2.0;J;0;1.0;3.0;Vessel
2.0;K;0;1.0;3.0;Vessel
2.0;L;0;1.0;3.0;Vessel
2.0;M;0;1.0;3.0;Vessel
2.0;A;0;2.0;3.0;Vessel
2.0;B;0;2.0;3.0;Vessel
2.0;C;0;2.0;3.0;Vessel
2.0;D;0;2.0;3.0;Vessel
2.0;E;0;2.0;3.0;Vessel
2.0;F;0;2.0;3.0;Vessel
2.0;G;0;2.0;3.0;Vessel
2.0;I;0;2.0;3.0;Vessel
2.0;J;0;2.0;3.0;Vessel
2.0;K;0;2.0;3.0;Vessel
2.0;L;0;2.0;3.0;Vessel
2.0;M;2;2.0;3.0;Vessel
1.0;A;0;1.0;3.0;Tug
1.0;B;0;1.0;3.0;Tug
1.0;C;0;1.0;3.0;Tug
1.0;D;0;1.0;3.0;Tug
1.0;E;0;1.0;3.0;Tug
1.0;F;0;1.0;3.0;Tug
1.0;G;0;1.0;3.0;Tug
1.0;I;0;1.0;3.0;Tug
1.0;J;0;1.0;3.0;Tug
1.0;K;0;1.0;3.0;Tug
1.0;L;0;1.0;3.0;Tug
1.0;M;0;1.0;3.0;Tug
1.0;A;0;2.0;3.0;Tug
1.0;B;0;2.0;3.0;Tug
1.0;C;0;2.0;3.0;Tug
1.0;D;0;2.0;3.0;Tug
1.0;E;0;2.0;3.0;Tug
1.0;F;0;2.0;3.0;Tug
1.0;G;0;2.0;3.0;Tug
1.0;I;0;2.0;3.0;Tug
1.0;J;0;2.0;3.0;Tug
1.0;K;0;2.0;3.0;Tug
1.0;L;0;2.0;3.0;Tug
1.0;M;0;2.0;3.0;Tug
2.0;A;0;1.0;3.0;Tug
2.0;B;0;1.0;3.0;Tug
2.0;C;0;1.0;3.0;Tug
2.0;D;0;1.0;3.0;Tug
2.0;E;0;1.0;3.0;Tug
2.0;F;0;1.0;3.0;Tug
2.0;G;0;1.0;3.0;Tug
2.0;I;0;1.0;3.0;Tug
2.0;J;0;1.0;3.0;Tug
2.0;K;0;1.0;3.0;Tug
2.0;L;0;1.0;3.0;Tug
2.0;M;0;1.0;3.0;Tug
2.0;A;0;2.0;3.0;Tug
2.0;B;0;2.0;3.0;Tug
2.0;C;0;2.0;3.0;Tug
2.0;D;0;2.0;3.0;Tug
2.0;E;0;2.0;3.0;Tug
2.0;F;0;2.0;3.0;Tug
2.0;G;0;2.0;3.0;Tug
2.0;I;0;2.0;3.0;Tug
2.0;J;0;2.0;3.0;Tug
2.0;K;0;2.0;3.0;Tug
2.0;L;0;2.0;3.0;Tug
2.0;M;0;2.0;3.0;Tug
1.0;A;0;1.0;3.0;Barge
1.0;B;0;1.0;3.0;Barge
1.0;C;0;1.0;3.0;Barge
1.0;D;0;1.0;3.0;Barge
1.0;E;0;1.0;3.0;Barge
1.0;F;0;1.0;3.0;Barge
1.0;G;0;1.0;3.0;Barge
1.0;I;0;1.0;3.0;Barge
1.0;J;0;1.0;3.0;Barge
1.0;K;0;1.0;3.0;Barge
1.0;L;0;1.0;3.0;Barge
1.0;M;0;1.0;3.0;Barge
1.0;A;0;2.0;3.0;Barge
1.0;B;0;2.0;3.0;Barge
1.0;C;0;2.0;3.0;Barge
1.0;D;0;2.0;3.0;Barge
1.0;E;0;2.0;3.0;Barge
1.0;F;0;2.0;3.0;Barge
1.0;G;0;2.0;3.0;Barge
1.0;I;0;2.0;3.0;Barge
1.0;J;0;2.0;3.0;Barge
1.0;K;0;2.0;3.0;Barge
1.0;L;0;2.0;3.0;Barge
1.0;M;0;2.0;3.0;Barge
2.0;A;0;1.0;3.0;Barge
2.0;B;0;1.0;3.0;Barge
2.0;C;0;1.0;3.0;Barge
2.0;D;0;1.0;3.0;Barge
2.0;E;0;1.0;3.0;Barge
2.0;F;0;1.0;3.0;Barge
2.0;G;0;1.0;3.0;Barge
2.0;I;0;1.0;3.0;Barge
2.0;J;0;1.0;3.0;Barge
2.0;K;0;1.0;3.0;Barge
2.0;L;0;1.0;3.0;Barge
2.0;M;0;1.0;3.0;Barge
2.0;A;0;2.0;3.0;Barge
2.0;B;0;2.0;3.0;Barge
2.0;C;0;2.0;3.0;Barge
2.0;D;0;2.0;3.0;Barge
2.0;E;0;2.0;3.0;Barge
2.0;F;0;2.0;3.0;Barge
2.0;G;0;2.0;3.0;Barge
2.0;I;0;2.0;3.0;Barge
2.0;J;0;2.0;3.0;Barge
2.0;K;0;2.0;3.0;Barge
2.0;L;0;2.0;3.0;Barge
2.0;M;0;2.0;3.0;Barge
1.0;A;0;1.0;4.0;Carrier
1.0;B;0;1.0;4.0;Carrier
1.0;C;0;1.0;4.0;Carrier
1.0;D;0;1.0;4.0;Carrier
1.0;E;0;1.0;4.0;Carrier
1.0;F;0;1.0;4.0;Carrier
1.0;G;0;1.0;4.0;Carrier
1.0;I;0;1.0;4.0;Carrier
1.0;J;0;1.0;4.0;Carrier
1.0;K;0;1.0;4.0;Carrier
1.0;L;0;1.0;4.0;Carrier
1.0;M;0;1.0;4.0;Carrier
1.0;A;0;2.0;4.0;Carrier
1.0;B;0;2.0;4.0;Carrier
1.0;C;0;2.0;4.0;Carrier
1.0;D;0;2.0;4.0;Carrier
1.0;E;0;2.0;4.0;Carrier
1.0;F;0;2.0;4.0;Carrier
1.0;G;0;2.0;4.0;Carrier
1.0;I;0;2.0;4.0;Carrier
1.0;J;0;2.0;4.0;Carrier
1.0;K;0;2.0;4.0;Carrier
1.0;L;0;2.0;4.0;Carrier
1.0;M;0;2.0;4.0;Carrier
2.0;A;0;1.0;4.0;Carrier
2.0;B;1;1.0;4.0;Carrier
2.0;C;0;1.0;4.0;Carrier
2.0;D;0;1.0;4.0;Carrier
2.0;E;0;1.0;4.0;Carrier
2.0;F;0;1.0;4.0;Carrier
2.0;G;1;1.0;4.0;Carrier
2.0;I;3;1.0;4.0;Carrier
2.0;J;0;1.0;4.0;Carrier
2.0;K;3;1.0;4.0;Carrier
2.0;L;0;1.0;4.0;Carrier
2.0;M;0;1.0;4.0;Carrier
2.0;A;0;2.0;4.0;Carrier
2.0;B;0;2.0;4.0;Carrier
2.0;C;1;2.0;4.0;Carrier
2.0;D;0;2.0;4.0;Carrier
2.0;E;1;2.0;4.0;Carrier
2.0;F;0;2.0;4.0;Carrier
2.0;G;0;2.0;4.0;Carrier
2.0;I;1;2.0;4.0;Carrier
2.0;J;1;2.0;4.0;Carrier
2.0;K;1;2.0;4.0;Carrier
2.0;L;0;2.0;4.0;Carrier
2.0;M;0;2.0;4.0;Carrier
1.0;A;0;1.0;4.0;Tanker
1.0;B;0;1.0;4.0;Tanker
1.0;C;0;1.0;4.0;Tanker
1.0;D;0;1.0;4.0;Tanker
1.0;E;0;1.0;4.0;Tanker
1.0;F;0;1.0;4.0;Tanker
1.0;G;0;1.0;4.0;Tanker
1.0;I;0;1.0;4.0;Tanker
1.0;J;0;1.0;4.0;Tanker
1.0;K;0;1.0;4.0;Tanker
1.0;L;0;1.0;4.0;Tanker
1.0;M;0;1.0;4.0;Tanker
1.0;A;0;2.0;4.0;Tanker
1.0;B;0;2.0;4.0;Tanker
1.0;C;0;2.0;4.0;Tanker
1.0;D;0;2.0;4.0;Tanker
1.0;E;0;2.0;4.0;Tanker
1.0;F;0;2.0;4.0;Tanker
1.0;G;0;2.0;4.0;Tanker
1.0;I;0;2.0;4.0;Tanker
1.0;J;0;2.0;4.0;Tanker
1.0;K;0;2.0;4.0;Tanker
1.0;L;0;2.0;4.0;Tanker
1.0;M;0;2.0;4.0;Tanker
2.0;A;0;1.0;4.0;Tanker
2.0;B;0;1.0;4.0;Tanker
2.0;C;0;1.0;4.0;Tanker
2.0;D;1;1.0;4.0;Tanker
2.0;E;1;1.0;4.0;Tanker
2.0;F;1;1.0;4.0;Tanker
2.0;G;0;1.0;4.0;Tanker
2.0;I;1;1.0;4.0;Tanker
2.0;J;1;1.0;4.0;Tanker
2.0;K;3;1.0;4.0;Tanker
2.0;L;2;1.0;4.0;Tanker
2.0;M;0;1.0;4.0;Tanker
2.0;A;1;2.0;4.0;Tanker
2.0;B;0;2.0;4.0;Tanker
2.0;C;1;2.0;4.0;Tanker
2.0;D;0;2.0;4.0;Tanker
2.0;E;0;2.0;4.0;Tanker
2.0;F;2;2.0;4.0;Tanker
2.0;G;1;2.0;4.0;Tanker
2.0;I;1;2.0;4.0;Tanker
2.0;J;0;2.0;4.0;Tanker
2.0;K;1;2.0;4.0;Tanker
2.0;L;0;2.0;4.0;Tanker
2.0;M;0;2.0;4.0;Tanker
1.0;A;0;1.0;4.0;Other
1.0;B;0;1.0;4.0;Other
1.0;C;0;1.0;4.0;Other
1.0;D;0;1.0;4.0;Other
1.0;E;0;1.0;4.0;Other
1.0;F;0;1.0;4.0;Other
1.0;G;0;1.0;4.0;Other
1.0;I;0;1.0;4.0;Other
1.0;J;0;1.0;4.0;Other
1.0;K;0;1.0;4.0;Other
1.0;L;0;1.0;4.0;Other
1.0;M;0;1.0;4.0;Other
1.0;A;0;2.0;4.0;Other
1.0;B;0;2.0;4.0;Other
1.0;C;0;2.0;4.0;Other
1.0;D;0;2.0;4.0;Other
1.0;E;0;2.0;4.0;Other
1.0;F;0;2.0;4.0;Other
1.0;G;0;2.0;4.0;Other
1.0;I;0;2.0;4.0;Other
1.0;J;0;2.0;4.0;Other
1.0;K;0;2.0;4.0;Other
1.0;L;0;2.0;4.0;Other
1.0;M;0;2.0;4.0;Other
2.0;A;0;1.0;4.0;Other
2.0;B;0;1.0;4.0;Other
2.0;C;0;1.0;4.0;Other
2.0;D;0;1.0;4.0;Other
2.0;E;1;1.0;4.0;Other
2.0;F;0;1.0;4.0;Other
2.0;G;0;1.0;4.0;Other
2.0;I;0;1.0;4.0;Other
2.0;J;0;1.0;4.0;Other
2.0;K;0;1.0;4.0;Other
2.0;L;1;1.0;4.0;Other
2.0;M;0;1.0;4.0;Other
2.0;A;0;2.0;4.0;Other
2.0;B;1;2.0;4.0;Other
2.0;C;0;2.0;4.0;Other
2.0;D;0;2.0;4.0;Other
2.0;E;0;2.0;4.0;Other
2.0;F;0;2.0;4.0;Other
2.0;G;0;2.0;4.0;Other
2.0;I;1;2.0;4.0;Other
2.0;J;0;2.0;4.0;Other
2.0;K;0;2.0;4.0;Other
2.0;L;0;2.0;4.0;Other
2.0;M;0;2.0;4.0;Other
1.0;A;0;1.0;4.0;Cargo
1.0;B;0;1.0;4.0;Cargo
1.0;C;0;1.0;4.0;Cargo
1.0;D;0;1.0;4.0;Cargo
1.0;E;0;1.0;4.0;Cargo
1.0;F;0;1.0;4.0;Cargo
1.0;G;0;1.0;4.0;Cargo
1.0;I;0;1.0;4.0;Cargo
1.0;J;0;1.0;4.0;Cargo
1.0;K;0;1.0;4.0;Cargo
1.0;L;0;1.0;4.0;Cargo
1.0;M;0;1.0;4.0;Cargo
1.0;A;0;2.0;4.0;Cargo
1.0;B;0;2.0;4.0;Cargo
1.0;C;0;2.0;4.0;Cargo
1.0;D;0;2.0;4.0;Cargo
1.0;E;0;2.0;4.0;Cargo
1.0;F;0;2.0;4.0;Cargo
1.0;G;0;2.0;4.0;Cargo
1.0;I;0;2.0;4.0;Cargo
1.0;J;0;2.0;4.0;Cargo
1.0;K;0;2.0;4.0;Cargo
1.0;L;0;2.0;4.0;Cargo
1.0;M;0;2.0;4.0;Cargo
2.0;A;0;1.0;4.0;Cargo
2.0;B;0;1.0;4.0;Cargo
2.0;C;0;1.0;4.0;Cargo
2.0;D;0;1.0;4.0;Cargo
2.0;E;0;1.0;4.0;Cargo
2.0;F;0;1.0;4.0;Cargo
2.0;G;0;1.0;4.0;Cargo
2.0;I;2;1.0;4.0;Cargo
2.0;J;0;1.0;4.0;Cargo
2.0;K;1;1.0;4.0;Cargo
2.0;L;0;1.0;4.0;Cargo
2.0;M;0;1.0;4.0;Cargo
2.0;A;0;2.0;4.0;Cargo
2.0;B;0;2.0;4.0;Cargo
2.0;C;0;2.0;4.0;Cargo
2.0;D;0;2.0;4.0;Cargo
2.0;E;0;2.0;4.0;Cargo
2.0;F;0;2.0;4.0;Cargo
2.0;G;1;2.0;4.0;Cargo
2.0;I;2;2.0;4.0;Cargo
2.0;J;1;2.0;4.0;Cargo
